태그,질문,기술 분야,기술 키워드,세부 기술 키워드
etc,포트폴리오에 언급된 프로젝트 중 음악과 관련된 서비스 또는 콘텐츠를 다룬 경험이 있나요? 해당 프로젝트에서 혁신적인 기능을 구현한 사례가 있다면 말씀해 주세요.,"BE, FE",domain_music,
BE,"도커 사용 경험이 있는데, Kubernetes를 사용하여 마이크로서비스를 오케스트레이션한 경험은 없나요?",BE,kubernetes,
BE,"빅데이터 시스템을 다룬 경험이 있으신가요? 주요 도전 과제는 무엇이었으며, 대용량 데이터를 효율적으로 처리하기 위해 어떤 방법을 사용하셨나요?",BE,Big Data,
BE,비동기 메시징 시스템을 사용한 경험이 있습니까? 메시지 큐를 구현하고 최적화하기 위해 Redis를 사용한다면 무엇을 먼저 고려할지 얘기해주세요.,BE,Redis,message queue
BE,이전에 개발하신 프로젝트에서 재사용 가능한 컴포넌트를 만든 경험이 있나요? 이러한 컴포넌트가 팀 전체의 효율성을 어떻게 향상시켰나요?,"BE, FE",reuse,
etc,LINE MUSIC과 같은 음악 스트리밍 서비스의 사용자 경험을 개선하기 위해 어떤 혁신적인 아이디어나 기능을 제안하시겠습니까?,BE,UI/UX,domain_music
BE,Spring Framework의 라이프사이클을 설명해 주세요. Spring 기반 시스템에서 의존성 주입과 구성을 어떻게 관리하셨나요?,BE,Spring,
etc,"개발디자인 문서 작성시 프로세스를 설명하고, 여기서 본인만의 강점, 팁이 있다면 얘기해주세요.","BE, FE",Architecture,
etc,프로덕트를 성장시키는 것에 우선 순위를 두는 경험 및 사례를 얘기해주세요.,"BE, FE",Basic,
BE,"비전공 인문계 고객들을 상대로, RDBMS에서의 테이블간 PK, FK 관계에 대해서 최대한 쉽게 설명을 해주세요",BE,DB,
BE,사용하기 편리하고 자원활용 효율적인 API 구조의 특징은 무엇이라고 생각하시는지 설명해주세요. 그리고 본인이 프로젝트에서 적용한 내용을 알려주세요.,"BE, FE",Architecture,API
BE,특정시간대에 추천 검색어 노출해주는 로직은 어떻게 수립할 수 있을까요?,"BE, FE",Architecture,
BE,"반정규화에 대해 설명하고 반정규화를 적용해본 적이 있다면,  적용한 반정규화에 대해 적용사항과 결과에 대해 말해주세요.",BE,DB,
BE,"JWT 기술에 대해 설명하고, 본인이 적용한 방식을 추가로 설명해주세요.","BE, FE",JWT,
FE,클로저를 사용하여 private 변수를 구현하는 방법에 대해 설명해 주세요.,FE,JavaScript,Closure
FE,클로저가 메모리 관리에 미치는 영향에 대해 설명해 주세요.,FE,JavaScript,Closure
FE,"Promise 객체의 'then', 'catch', 'finally' 메서드의 역할을 구체적으로 설명해 주세요.",FE,JavaScript,promise
FE,`this` 키워드가 가리키는 대상을 결정하는 다양한 방법(예: bind)에 대해 설명해 주세요.,FE,JavaScript,this
FE,"ES6의 모듈 시스템(import/export)에 대해 설명하고, CommonJS와의 차이점을 알려주세요.",FE,JavaScript,
FE,"비동기 함수(Promise, async/await)에서 에러를 처리하는 방법에 대해 설명해 주세요.",FE,JavaScript,promise
FE,"자바스크립트의 배열 메서드 중 map, filter, reduce의 차이를 예시를 들어 설명해 주세요.",FE,JavaScript,
FE,자바스크립트의 프로토타입 상속에 대해 설명해 주세요.,FE,JavaScript,
FE,타입스크립트(TypeScript)를 사용할 때의 장점과 자바스크립트와의 차이점은 무엇인가요?,FE,Typescript,
FE,자바스크립트에서 깊은 복사와 얕은 복사의 차이에 대해 설명해 주세요.,FE,JavaScript,
FE,자바스크립트에서의 메모리 관리와 가비지 컬렉션(Garbage Collection) 원리를 설명해 주세요.,FE,JavaScript,GC
FE,자바스크립트의 이벤트 루프(Event Loop)와 콜 스택(Call Stack)의 동작 방식을 설명해 주세요.,FE,JavaScript,
FE,"React의 상태 관리 도구(예: Redux, Context API)를 사용하는 이유와 장점은 무엇인가요?",FE,React,
FE,"웹 애플리케이션에서 사용되는 보안 위협(예: XSS, CSRF)의 유형과 예방 방법에 대해 설명해 주세요.","BE, FE",security,
FE,Tree-shaking이 잘 되도록 하기 위한 최적화 조건들은 어떤게 있을까요?,FE,JavaScript,tree shaking
FE,디자인 시스템을 만들 때 가장 많이 고려해야할 부분은 어떤 부분일까요?,FE,domain design,
FE,디자인 시스템을 구축 후 아직까지 해결되지 않은 가장 어려운 부분에 대해 말씀해 주세요.,FE,domain design,
FE,타입스크립트(TypeScript)를 사용 시 api의 타입은 어떤 식으로 관리했는지 설명해 주세요.,FE,Typescript,
FE,"멀티레포와 모노레포는 어떤 장단점이 있을까요? 만약에 모노레포로 변경한다면 어떤 방식과 라이브러리를 사용할지, 문제가 예상되는 부분이 있는지 설명해 주세요.","BE, FE",git,"Mono Repo, Multi Repo"
FE,webpack보다 vite가 빠른 이유가 무엇일까요? 차이점을 설명해주세요.,FE,bundler,
FE,SEO 성능을 높이기 위해 Next.js 를 사용하는 방법이 있습니다. Next.js 외에 SEO 성능을 높일 수 있는 방법에 대해 아는대로 설명해주세요,FE,SEO,
FE,React Query 에서 캐시를 관리하는 방법과 주기에 대해 설명해주세요,FE,cache,
FE,프로젝트에서 사용한 Typescript 중 가장 구성하기 까다로웠던 type 에 대해 설명해주세요,FE,Typescript,
FE,스타일링 도구 Emotion을 다른 도구들과 장단점을 설명하며 비교해주세요.,FE,emotion,
FE,"Jest를 활용한 TDD 경험이 있다면, 구성한 대표적인 테스트 케이스에 대해 설명하고, 어떻게 검증하였는지 설명해보세요",FE,testing,jest
FE,"Rest API 의 CRUD method 에 대응하는 HTTP method를 소개하고, 각 Method의 특징을 설명하세요","BE, FE",http,
FE,CORS 는 무엇인가요? 어떤 경우에 발생하나요? prd 환경에서 CORS 를 해결하기 위해서는 어떤 처리가 필요한가요?  dev 환경에서 해결한 사례가 있나요?,"BE, FE",CORS,
FE,"Typescript 의 타입으로 처리할 수 있는 동작과, Typescript 타입 정의로 불가능한 검증의 사례를 들어주세요",FE,Typescript,
FE,"모노레포와 관련된 프로젝트를 진행한 경험이 있으시다면, 사례와 그 적용 범위에 대해 설명해 주세요. 모노레포를 적용한 후 개선된 점과 불편해진 점은 무엇이었나요? 또한, 불편한 부분을 개선하기 위해 어떤 노력을 하셨는지 말씀해 주세요.","BE, FE",git,Mono Repo
FE,webpack 에서 vite 로 변경하면 왜 성능이 좋아지나요?,FE,bundler,
FE,"쓰로틀링과 디바운스의 차이를 설명하고, 프론트엔드에서 구현한 방법에 대해 설명해주세요",FE,"Debounce, throttle",
FE,"javascript 의 트리쉐이킹에 대해서 설명하시고, 일어나는 조건과 일어나지 않는 조건에 대해 설명해주세요",FE,tree shaking,
FE,"이미지 lazyloading이 유저의 어떤 성능을 개선하고, 어떤 부분은 개선하지 않는지 나눠서 설명하고 이걸 적용하면 어떤 지표가 개선되는지 설명해주세요",FE,lazyloading,
FE,Typescript 로 작성한 react 코드가 브라우저에서 실행가능한 코드로 변경되는 과정을 설명해주세요,FE,Typescript,React
FE,"CDN 의 원리에 대해 설명해주시고, 대표적인 CDN 인프라와 CDN 성능에 도움이 되는 HTTP 헤더에 대해 설명해주세요.","BE, FE",CDN,
BE,프록시 서버를 사용할 때 발생할 수 있는 속도 저하와 보안 문제를 어떻게 해결하면 좋을까요?,BE,proxy server,
BE,진행중인 프로젝트에서 CI/CD는 어떻게 구성하였나요?,"BE, FE",CI/CD,
BE,JWT에 대해 설명해 주세요.,"BE, FE",JWT,
BE,refresh token 동작에 대해 설명해 주세요,"BE, FE",JWT,
BE,"시스템에서 암호를 사용하는 경우, 암호의 보안 방식과 검증 방법을 어떻게 처리하셨나요?",BE,security,
BE,프로젝트에서 I/O 개선으로 효과를 개선한 경험이 있으신가요?,BE,I/O,
BE,프로젝트 진행중 어려웠던 점과 해결안 방법에 대해 얘기해 주세요.,"BE, FE",Basic,
BE,기존 Java로 프로젝트를 진행하였는데 Kotlin에 대한 경험도 있나요?,BE,Kotlin,
etc,은행 시스템에서 중요한 것이 무엇이라고 생각하나요?,"BE, FE",domain_finance,
BE,대용량 트래픽 처리 경험이 있다면 얘기해 주세요.,BE,traffic,
BE,문자열 저장이나 전송시 적용한 보안에 대해 얘기해 주세요.,"BE, FE",security,
BE,unique index의 장단점에 대해 설명해 주세요.,BE,DB,
BE,에러 로그를 파일로 관리하는 것에 대한 장점,BE,error,
BE,에러 발생 알림에 대한 시스템도 구축하였나요?,BE,error,
BE,개발 팀장으로 일정관리나 프로젝트 관리는 어떻게 하였나요?,"BE, FE",softskill,
BE,리팩토링의 이유와 과정에 대해 설명해 주세요.,"BE, FE",refactoring,
BE,"테스트를 작성하면, 추후 유지 보수에서 어떤 도움이 되는지 설명해주세요.","BE, FE",testing,
BE,웹소켓에 대해 설명해 주세요.,"BE, FE",websocket,
BE,CI/CD는 어떻게 구성하였나요?,"BE, FE",CI/CD,
BE,AWS 구성은 어떻게 하였는지 설명해 주세요.,BE,Architecture,AWS
BE,REST API에 대해 설명해 주세요.,"BE, FE",REST API,
BE,무중단 배포 서버 구축한 내용에 대해 설명해 주세요.,BE,Architecture,zero-downtime deployment
BE,성능 테스트에서 중요하게 생각한 부분과 개선한 부분이 있나요?,BE,testing,
BE,API 분리시 접근 권한은 어떻게 적용하였나요?,BE,API,
BE,인증과 인가의 차이에 대해 설명해 주세요.,"BE, FE",security,
BE,Java Heap Memory 구조와 GC 가 동작하는 방식에 대한 설명,BE,GC,
BE,방화벽의 Stateful / Stateless 차이에 대한 설명,BE,security,firewall
BE,Web Server 와 WAS 의 차이점 설명,BE,Basic,
BE,Kafka 의 ISR 에 대한 설명,BE,message queue,Kafka
BE,EKS version upgrade 시 수행했던 전략에 대한 설명,BE,kubernetes,EKS
BE,Strong Consistency 와 Eventually Consistency 의 차이점 설명,BE,DB,
BE,(Redis) Redis 에 데이터 입출력 시 직렬화/역직렬화가 필요한 이유 설명,BE,cache,Redis
BE,"트랜잭션이란 무엇이며, 데이터 일관성을 어떻게 보존할 수 있는지에 대한 설명",BE,DB,
BE,카프카의 프로듀서 컨슈머에 대한 설명,BE,message queue,Kafka
BE,카프카의 Lag 에 대한 설명,BE,message queue,Kafka
BE,카프카 설정 중 ISR 에 대한 값과 고가용성 보장을 위한 Replica 와의 관계에 대한 설명,BE,message queue,Kafka
BE,"Deadlock 이란 무엇이며, 이를 해결하기 위한 방안에 대한 설명",BE,DB,Deadlock
BE,캐시의 장점과 캐시의 전략에 대한 설명,BE,cache,
BE,tcp 3 handshake 에 대한 설명,BE,TCP,
BE,HTTP Keepalive 에 대한 설명,BE,http,
BE,프록시 서버와 리버스 프록시 서버의 차이점에 대한 설명,BE,proxy server,
BE,테이블의 정규화에 대한 설명과 반정규화를 통해서 성능을 해결한 사례에 대한 설명,BE,DB,Denormalization
BE,컨테이너의 장점과 가상머신(vm) 과의 차이에 대한 설명,BE,Container,
BE,비동기 메세지 처리를 할 수 있는 미들웨어는 어떤 것들이 있는지와 경험 사례,BE,message queue,
BE,Session 과 JWT 의 차이점에 대한 설명,BE,JWT,
BE,DNS recursive query 에 대한 설명,"BE, FE",DNS,
FE,일반 함수와 Arrow Function의 차이는 무엇인가요?,FE,JavaScript,
FE,"클래스에서 메서드를 선언할 때, 메서드를 직접 선언하는 방식과 this.함수명으로 프로퍼티를 통해 함수를 정의하는 방식의 차이점은 무엇인가요?",FE,JavaScript,
FE,Constructor라는 내장 함수가 클래스에서 어떤 역할을 하는지 알고 있나요?,FE,JavaScript,
FE,Constructor의 역할과 그 필요성에 대해 설명해 주세요.,FE,JavaScript,
FE,"클래스 내에서 메서드를 정의할 때, 해당 메서드가 인스턴스 생성 시마다 호출되는지 아니면 한 번 생성되어 재사용되는지에 대해 설명해 주세요.","BE, FE",Basic,
FE,"객체 생성 시 함수가 매번 새로 호출되는지, 아니면 한 번 정의된 후 재사용되는지에 대한 차이를 어떻게 구분할 수 있을까요?","BE, FE",Basic,
FE,클래스에서 정의한 함수가 인스턴스마다 새롭게 호출되는 경우와 재사용되는 경우의 성능 차이는 무엇인가요?,"BE, FE",Basic,
FE,Async/await가 Promise와 어떻게 매칭되어 동작하는지 설명해 주세요.,FE,JavaScript,promise
FE,"Promise의 상태들은 무엇이며, 각각의 상태에서 await가 붙은 변수는 어떤 결과를 반환하나요?",FE,JavaScript,promise
FE,"React Hooks, 특히 useState가 컴포넌트 내부에서 어떻게 상태값을 유지하는지 설명해 주세요. 리렌더링이 되어도 상태가 보존되는 방식에 대해 간략하게 설명해 주실 수 있나요?",FE,JavaScript,React Hooks
FE,"React Hooks를 사용할 때 주의해야 할 점은 무엇인가요? 특히, 공식 문서에서 강조된 주의 사항에 대해 설명해 주세요.",FE,JavaScript,React Hooks
FE,"JWT 토큰을 Authorization Header에 넣어 요청할 때, 브라우저에서 토큰이 탈취되지 않도록 안전하게 관리하는 방법은 무엇인가요?",FE,JWT,
FE,"HTTP 1.1, 2.0, 3.0의 차이점과 각각의 특징에 대해 설명해 주세요.","BE, FE",http,
FE,TLS에 대해 들어보셨나요? TLS의 역할과 중요한 개념에 대해 설명해 주세요.,"BE, FE",TLS,
FE,"성능 최적화와 관련된 작업을 해보신 경험이 있나요? 있다면, 어떤 작업들을 수행했는지 설명해 주세요.","BE, FE",Basic,
etc,"Git을 사용한 협업 경험이 있으신가요? 몇 명과 함께 협업한 적이 있는지, 그리고 CI/CD 도구를 사용한 경험이 있으면 설명해 주세요.","BE, FE",softskill,
etc,"다수의 인원과 협업할 때 Git 충돌(Conflict)이 발생한 경험이 있나요? 충돌을 최소화하기 위해 어떤 협의를 했고, 발생한 충돌을 어떻게 해결하며 머지(Merge)했는지 설명해 주세요.","BE, FE",git,
etc,어떤 CI/CD 도구를 사용해 보셨나요? 해당 도구를 어떤 용도로 사용했는지 설명해 주세요.,"BE, FE",CI/CD,
FE,"SPA, 서버 사이드 렌더링(SSR), 그리고 서버 컴포넌트의 각각의 특징과 차이점에 대해 설명해 주세요.",FE,rendering,
FE,서버 컴포넌트로 작성된 컴포넌트는 브라우저에 번들링된 자바스크립트 파일로 전달되나요? 이에 대해 설명해 주세요.,FE,server component,
FE,"서버 사이드 렌더링(SSR)과 비교했을 때, SPA의 장점은 무엇인가요? SSR에 비해 SPA가 제공하는 이점에 대해 설명해 주세요.",FE,rendering,
FE,CSS의 display 속성에 어떤 값들이 있는지 설명해 주세요. 아시는 속성들을 말씀해 주실 수 있나요?,FE,CSS,
FE,"CSS의 flex 속성에 대해 설명해 주세요. flex 속성이 어떻게 구성되고, 각각의 값들이 어떤 역할을 하는지 설명해 주실 수 있나요?",FE,CSS,
FE,"CSS 레이아웃과 관련된 margin, border, padding, content 속성들은 각각 어떤 영역을 차지하는지 설명해 주세요.",FE,CSS,
FE,"box-sizing 속성을 border-box와 content-box로 설정했을 때, 두 설정의 차이점은 무엇인가요?",FE,CSS,
FE,TypeScript에서 제네릭(Generic)을 사용해 보셨나요? 제네릭이 어떤 역할을 하는지 간단하게 설명해 주세요.,FE,Typescript,
FE,"이미 설정된 타입에 추가적인 필드를 확장하고 싶다면, 어떤 방식(Type 또는 Interface)을 사용하는 것이 더 편리한가요? 그 이유는 무엇인가요?",FE,Typescript,
FE,"TypeScript에서 인터페이스를 확장할 때, 어떤 방식으로 확장을 할 수 있나요? 구체적인 방법에 대해 설명해 주세요.",FE,Typescript,
FE,ESNext에 대해 들어보셨나요? ES5와 ES6의 차이점에 대해 설명해 주세요.,FE,ECMAScript,
FE,"프로젝트에서 UX 최적화와 관련된 경험이 있으신가요? 있다면, 어떤 부분에서 UX 최적화를 위해 작업했는지 설명해 주세요.","BE, FE",UI/UX,
FE,"검색창에서 사용자가 빠르게 타이핑할 때, 매번 서버에 요청이 가지 않도록 어떻게 최적화를 할 수 있을까요? 자동완성 기능의 서버 요청을 최적화하는 방법에 대해 설명해 주세요.",FE,"Debounce, throttle",
FE,쓰로틀(throttle)과 디바운스(debounce)의 차이점은 무엇인가요? 각각의 개념과 사용 사례에 대해 설명해 주세요.,FE,"Debounce, throttle",
FE,"서버 컴포넌트에서는 훅(Hook)을 사용할 수 없는데, 꼭 필요한 훅이 있는 경우 어떻게 우회하여 구현할 수 있을까요? 예를 들어, useParams와 같은 훅이 필요할 때 서버 컴포넌트에서 이를 해결하는 방법에 대해 설명해 주세요.",FE,React,
FE,"React Query와 Recoil을 같은 프로젝트에서 함께 사용해 보셨나요? React Query만으로도 전역 상태 관리가 가능한데, Recoil을 추가적으로 사용한 이유와 케이스에 대해 설명해 주세요.",FE,state management,
BE,Java에서 가비지 컬렉터(Garbage Collector)는 메모리를 어떻게 수집하고 해제하나요? 가비지 컬렉터의 동작 과정에 대해 설명해 주세요.,BE,java,GC
BE,"Java에서 Major GC(Full GC) 시 Stop-the-world가 발생하는데, Minor GC에서도 Stop-the-world가 발생하나요? 이에 대해 설명해 주세요.",BE,java,GC
BE,"Java 애플리케이션에서 OutOfMemoryException(OOM)이 발생하면, 어떤 부분을 확인하고 점검해야 하나요?",BE,java,
BE,GC 로그와 힙 덤프에 대해 알고 계신가요? 이들을 어떻게 사용하여 메모리 문제를 분석하는지 설명해 주세요.,BE,java,
BE,"부하 테스트를 진행할 때, 테스트 유저 수를 설정할 때 어떤 기준으로 설정하시나요? 해당 수치를 선택하는 이유에 대해 설명해 주세요.",BE,testing,
BE,"고가용성(High Availability)이란 무엇이며, 이를 어떻게 구현할 수 있는지 설명해 주세요.",BE,Architecture,high availability
BE,"시스템이 전반적으로 느려질 때, 이를 확인하고 진단할 수 있는 도구는 어떤 것이 있나요?",BE,monitoring,
BE,미들웨어나 코드 수정 없이 인프라적으로 시스템을 확장하려면 어떤 방법들이 있을까요?,BE,Architecture,
BE,MSA(마이크로서비스 아키텍처)에 대해 알고 계신가요? MSA의 개념과 주요 특징에 대해 설명해 주세요.,BE,Architecture,MSA
BE,"컨테이너 기술(Docker, Kubernetes 등)을 사용해 본 경험이 있나요? 사용해 본 경우, 어떤 상황에서 활용했는지 설명해 주세요.",BE,Container,
BE,Java의 가비지 컬렉터(Garbage Collector)가 동작하는 방식에 대해 간단히 설명해 주세요.,BE,java,GC
BE,사용하셨던 애플리케이션에서는 어떤 종류의 가비지 컬렉터(GC)를 사용하셨나요? 그 이유와 선택한 GC의 특징에 대해 설명해 주세요.,BE,java,GC
BE,큰 객체(Humongous Object)는 Java 메모리에서 어떻게 할당되나요? Humongous Object에 대해 알고 계신다면 설명해 주세요.,BE,java,GC
BE,"애플리케이션에서 힙 메모리 부족으로 OutOfMemoryException(OOM)이 발생한 적이 있나요? 만약 겪어보셨다면, 그 문제를 어떻게 해결하셨나요?",BE,java,
BE,GC 로그를 확인해 보신 적이 있나요? GC 로그를 분석하여 문제를 진단한 경험이 있으면 설명해 주세요.,BE,java,GC
BE,캐시 전략에서 @CacheEvict와 @Cacheable을 사용하는 방식과 TTL(Time To Live) 설정을 사용하는 방식이 있습니다. 이 두 가지 전략의 차이점과 적용 시 고려해야 할 사항은 무엇인가요?,BE,java,cache
BE,파이프라인을 어떻게 구성했는지 간략하게 설명해 주세요. 각 단계에서 어떤 작업이 이루어지는지 설명해 주실 수 있나요?,BE,pipeline,
BE,컨테이너 기술(Docker 등)을 사용하는 이점은 무엇인가요? 이를 통해 얻을 수 있는 주요 이점에 대해 설명해 주세요.,BE,Container,
